Design_code,Design_title,Design_Color,Design_Style,Design_url,Design_url2
1,Red Modern suit,Red and Black,Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_1.png?alt=media&token=bd2de754-27bf-4869-a016-4b550d4f7366,
2,Black Modern Suit,Full Black,Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_2.png?alt=media&token=0418509d-9009-43c0-b385-742d24a5a192,
3,Dark Blue Modern Suit,Blue and Black,Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_3.png?alt=media&token=26ccd48b-90eb-499f-903e-cb2201eb3749,
4,Wooden Style Brown Modern Suit,Brown and Black ,Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_4.png?alt=media&token=ee67ac27-35b6-49fe-86f6-371540095cb3,
5,Green Modern Suit,Green and Black,Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_5.png?alt=media&token=18308607-118d-40c3-bf7d-976c74138e00,
6,Blue Modern Suit,Blue and Black,Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_6.png?alt=media&token=aaddc936-f78e-47cf-9c30-926389fcedb3,
7,Grey Modern Suit,Gerey abd Black,Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_7.png?alt=media&token=995ffe7a-2df1-4bae-85a5-c58ac8620a89,
8,Maroon and Blcak printed Normal Suit,Maroon and Black,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_8.png?alt=media&token=e0f738a4-6687-47a0-9bf8-c3eff57e70ba,
9,White Modern Suit,White and Black,Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_9.png?alt=media&token=a549cf0d-dd52-4215-a022-be71251f7c37,
10,White and Black Strip Modern Suit,White and Black,Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_10.png?alt=media&token=ecdd2a2d-f766-47f7-a839-89a850f0468a,
11,White and Black  Modern Suit,White and Black,Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_11.png?alt=media&token=d7620f8b-c656-41a4-aa05-bf46cd47edea,
12,White and Black strip Extra Modern Suit,"White,Blackand silver color flower",Extra Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_12.png?alt=media&token=5e9b680f-0e35-4eb4-92e5-e5e603b5c840,
13,White and Black button Extra Modern suit,"White,Black and Golden color printed Design",Extra Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_13.png?alt=media&token=44a6c4f6-d3ad-4575-b753-6f92b212f8fc,
14,Grey Check  Normal Suit,Grey and Black,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_14.png?alt=media&token=be78c270-cea0-4aa1-ab35-7b3a2f4f45f5,
15,Light Blue Check Normal Suit,Blue and White,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_15.png?alt=media&token=392f0c7d-1185-4012-b374-49c1902904f0,
16,Dark Grey check Normal Suit,Dark Grey and Brown,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_16.png?alt=media&token=07d12d7c-a333-4950-9c09-9b995ddb294d,
17,Grey and Black Check Normal Suit,Grey and Black,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_17.png?alt=media&token=e747d0b1-96dc-4eb0-a437-cd94b40f826f,
18,Plain Dark Blue Normal suit,Full Blue,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_18.png?alt=media&token=b0fa0564-4c24-4f09-9e9a-f27d6d01253c,
19,Blue Check Modern Suit,Blue and Grey Check,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_19.png?alt=media&token=4b11ba98-6f9d-4315-a16d-3aab56f538b7,
20,Dark blue Modern Suit,Blue and Black,Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_20.png?alt=media&token=3b7f3a60-1e03-4709-b750-1d8189a69af8,
21,Light Blue Plain Normal Suit,Light Blue,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_21.png?alt=media&token=c5f4328a-5d86-4f64-8ab3-005b98072b01,
22,Full Black Plain Suit,Black ,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_22.png?alt=media&token=fb9f16b9-d7ba-4d2b-92e6-6058ebae1a76,
23,Grey and Black Mix Modern Suit,Black and Grey,Modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_23.png?alt=media&token=9c7c5a2f-5d35-4c29-a567-4c112a8415b8,
24,Grey Check  Normal Suit,"Grey,White and Light Red",Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_24.png?alt=media&token=27590173-31d5-4545-b083-6baaf5ab7160,
25,Black and White check Normal Suit,Black and White,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_25.png?alt=media&token=1aa4abcd-983f-4ae3-a78e-4254a6e14942,
26,Full Black Plain Suit,Full Black,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_26.png?alt=media&token=f8106725-864f-476d-b26d-59e04c8f074e,
27,Black and Grey strip Normal Suit,Black and Grey,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_27.png?alt=media&token=4cd32edc-386a-47f6-9483-12e8a4d70a3a,
28,Full Black Plain Suit,Full Black,Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_28.png?alt=media&token=936ea652-2d0e-4845-8d13-e27752318d4d,
29,Black Check Normal Suit,"Black ,Blue and Brown",Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_29.png?alt=media&token=f8722ea4-c302-481b-9f4f-82b373dddd09,
30,Blue and  yellow check Normal Suit,"Blue ,Yellow and Black",Normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/Screenshot_30.png?alt=media&token=c9369d77-11c4-43a1-837e-529c3aa554bd,
