Design_code,Design_title,Design_Color,Design_Style,Design_url,Design_url2
1,Plain Grey  suit,Full Grey,normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_1.png?alt=media&token=7ef22ad1-306a-4e8e-877c-ded450666b14,
2,Dark grey check suit,dark grey and black,normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_2.png?alt=media&token=66b60a09-6c5d-4521-ade1-88fa21de6bee,
3,Black check suit,light black and blue check,normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_3.png?alt=media&token=a460a68a-4b31-41d0-aae6-12b56eb132ae,
4,Blue check suit,Dark blue and white line,modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_4.png?alt=media&token=2dad583c-b62f-4d0c-9719-8e88f3796b3e,
5,Dark blue suit,full dark blue,normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_5.png?alt=media&token=b4639357-9ce9-4ec8-9c8c-3c9b16381dc8,
6,Blue and golden check suit,Dark blue and golden line,modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_6.png?alt=media&token=d40f4870-5474-4efb-ac84-828d9089fc32,
7,Plain blue suit,light blue,normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_7.png?alt=media&token=35d3a8f8-95d9-47f3-a2db-7c9f1f70b894,
8,Modern blue suit,light blue and white,modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_8.png?alt=media&token=868f5ce1-52bd-45dd-ab04-39d4037e7bd5,
9,Black and White printed suit,Black and white flower printed,extra modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_9.png?alt=media&token=1f613af3-9878-4094-b405-2ca447889e30,
10,Black and Golden printed suit,Black and Golden flower printed,extra modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_10.png?alt=media&token=3e67456d-86e9-4920-876d-c3e9f5283c2e,
11,Black and White printed suit,"Black,white and sky blue",modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_11.png?alt=media&token=fa954e52-7b2e-4da7-b317-918c2de55d04,
12,White plain suit,White and Black strip,modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_12.png?alt=media&token=ad88d61c-e5da-469d-b7fc-d21247bda143,
13,Grey Extra Modern Suit,dark grey and black,extra modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_13.png?alt=media&token=a789bc6a-08ee-40f1-b59a-05bc8722ca5e,
14,Light pink Modern Suit,Light pink and maroon,extra modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_14.png?alt=media&token=9ab6e519-b5c4-49f6-8f68-38495b4cbcc7,
15,Red plain suit,Full red,normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_15.png?alt=media&token=145e4653-127b-4dd6-bccc-aca92b1e8d9b,
16,Grey plain suit,full grey,normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_16.png?alt=media&token=48bbd40b-dde1-4466-ad48-5dd03ca9417e,
17,Brown plain suit,full brown,normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_17.png?alt=media&token=23844f8a-716e-47ed-93af-4efd46922179,
18,Dark blue suit,Dark blue and black stri[,modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_18.png?alt=media&token=67d8769c-d94d-423f-a8d7-d1dcd893c6af,
19,Blue flower printed suit,Blue and black,modern,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_19.png?alt=media&token=b235c627-b508-4b04-afd9-8168dfb0d77e,
20,Navy blue plain suit,navy blue,normal,https://firebasestorage.googleapis.com/v0/b/tailor-management-system.appspot.com/o/3piecesuit%2FScreenshot_20.png?alt=media&token=8042b9a2-7ed1-436a-a8b2-11f4592e67dd,
